########## MCMC Condition  #############
# file_path : 190528_001911.txt
# parameters : mu, sigma, PReward, beta
# setting,{ 'nSim' : 1000000 , 'nThin' : 1000}
#
########### MCMC Chain #############
sample,loglikelihood,mu,sigma,PReward,beta,time (sec/M)
1000,-1199.1311427019184,1.270154078666307,6.741790564054831,0.4158747843721142,30.08914861391592,50359.985
2000,-1196.0645755257162,0.03126294199513424,6.881043525899668,0.427783971218561,35.03447170801035,207.679
3000,-1194.8891954274898,0.05481556825284486,6.953391183749404,0.39910941654319015,38.01370603001179,209.266
4000,-1197.8945698745545,0.6524337552743353,6.379748908839831,0.3854691973385565,39.6637872800049,207.049
5000,-1195.0864081312761,0.3645587696156858,6.9114733682365745,0.3850677952617156,38.447348275890334,210.63899999999998
6000,-1195.6786846790014,0.2598748730984034,7.119332037668046,0.39424099070472374,36.744788087587516,215.993
7000,-1197.7327352718935,0.5234633348222041,7.395126596802039,0.3525456516521618,39.58170414989778,211.895
8000,-1196.1473323564978,0.2637132541392759,6.555234895713538,0.3668774207472982,44.8434587414408,212.066
9000,-1195.2034610142098,0.723918163943507,6.697570767921358,0.3288724556641383,46.47907974458339,210.736
10000,-1194.078290957615,0.4849236230446557,6.936994995658203,0.2840431772557863,56.015248037832464,208.37199999999999
11000,-1197.1655142971085,0.35985528041779213,6.7961210148288185,0.3045999285186677,56.77814475392107,210.55499999999998
12000,-1194.0017042056731,0.15110575032942514,7.099692747951222,0.26890796002453105,65.10220211817291,206.881
13000,-1193.0758487459966,0.35399534666828647,7.263134659203844,0.24506847497683593,67.16336451835116,212.313
14000,-1192.1101622602653,0.047653329130706475,7.159295130700508,0.2339040700334018,76.45285848183336,222.584
15000,-1192.8287834865964,0.4021902331927519,7.0535029182105555,0.23385998768842703,72.51861387216651,224.065
16000,-1194.2977118773977,1.1083477374848205,7.095463086228786,0.20933740866050088,72.45147366037052,218.79000000000002
17000,-1193.4576376255138,0.1216857009568858,7.159559328333839,0.22079670202349433,82.7584589663317,211.533
18000,-1193.8081782779363,0.987544182887909,6.924364843806403,0.21868920201431521,72.48143209928395,213.732
19000,-1192.2341044626921,0.19918558436501618,7.139580795226252,0.21807730277918563,80.94323051637569,212.43300000000002
20000,-1193.8705582395894,0.7027983186740823,7.278503144134815,0.21902284423891116,72.4665752794983,209.056
21000,-1192.1764288233264,0.0802377716379771,7.297624851462897,0.21049411177892707,82.55906781963287,218.94
22000,-1199.436310173047,1.0498790105908056,7.774742356029137,0.2320340466505848,59.36500659628971,209.154
23000,-1197.1205168762285,0.5919996684739959,7.16686700118301,0.24219467569891617,62.53813825231374,211.63
24000,-1193.494497645027,0.2529400308492387,7.1062197033302015,0.264851911297424,64.18385695174686,209.988
25000,-1195.3991948005662,0.651989533782957,7.350612759474563,0.23622916447177858,63.46601158775056,211.211
26000,-1194.1046029315712,0.7612982989807981,6.68352623232784,0.23974160559991217,69.65229633323973,218.665
27000,-1192.9464312034916,0.5861839620381561,7.062943523935435,0.2141081732449579,76.7488838190135,207.69299999999998
28000,-1193.9032062155604,0.42086180780381777,6.9754336312876895,0.20609800377331144,87.99978220734782,206.767
29000,-1192.6374938103759,0.3887833402900786,7.042830351499672,0.2207907153749754,79.31011071466442,206.387
30000,-1192.9602625627563,0.3261626412910474,6.843049234858046,0.20993499003701058,87.13265281099319,208.28799999999998
31000,-1192.1483242722209,0.2642877891994656,6.954840619056463,0.21273924222974314,85.12417874330028,208.02
32000,-1195.514879276283,0.6001265882254154,6.520899519114745,0.20749440806017738,90.57275330778558,210.794
33000,-1192.521708627512,0.32802333718816346,7.2710544206968235,0.20687067530021733,82.69388619727692,207.05200000000002
34000,-1194.9039882854981,0.6827194203720873,7.446018639204309,0.21669220267738182,69.8535121388763,218.463
35000,-1192.7695503356,0.49486811745946413,7.007173218761174,0.21531048573831804,79.60353991283237,228.579
36000,-1194.684228861415,0.7609917572280559,7.003824013501609,0.23281346709851286,66.42546043029022,219.89000000000001
37000,-1196.3120283406388,0.8392982649718367,6.61020663792793,0.22603825301922553,72.59599367799808,214.43200000000002
38000,-1192.8845767634239,0.2159266561156625,6.921792392473819,0.23866671272659107,75.92191630912694,207.109
39000,-1192.256893361022,0.05117159282662556,7.111830353422158,0.2294103067165007,79.87791839462783,212.60999999999999
40000,-1194.731107633705,0.39572346156468574,7.566781728569524,0.2307469696068611,69.08574467765206,206.047
41000,-1192.898776664333,0.3447717404156988,6.996234951609229,0.24050978243655138,72.5132208276027,207.03
42000,-1192.9122170890212,0.3629141264553247,7.01672291991331,0.2133681916129347,83.52737277287252,214.677
43000,-1194.3960310631403,0.034534311486230464,7.270991369091233,0.22621658278838622,81.11794300855856,219.52100000000002
44000,-1192.5316390209646,0.20390369477118775,7.052527174199889,0.2273947383692891,78.88552271407613,209.96699999999998
45000,-1192.884472718234,0.5240250982698509,7.390103575725801,0.21993261688242086,71.37145873464007,215.013
46000,-1194.9614641756789,1.1749176774889236,7.039718919335547,0.21330592369188395,71.90660621584848,218.944
47000,-1193.7400096797014,0.5848051417005415,6.7627990241861,0.21181631674014437,81.92604552426745,215.37500000000003
48000,-1196.6694478128468,1.7024563135081554,6.95187129786525,0.21205268747875491,63.965990128720144,224.377
49000,-1193.8363399753096,0.45634800251684404,6.707130751270007,0.20920330481732027,87.57168786840906,214.07999999999998
50000,-1192.0014587684063,0.03725426616678139,7.074156141888186,0.18710549523436107,102.79732495411102,205.289
51000,-1192.0655778362113,0.45228570954639125,7.17766475701067,0.17235666605977876,100.21345549758944,207.882
