########## MCMC Condition  #############
# file_path : 190529_151048.txt
# parameters : shape(a), rate(b), PReward, beta
# setting,{ 'nSim' : 1000000 , 'nThin' : 1000}
#
########### MCMC Chain #############
sample,loglikelihood,shape(a),rate(b),PReward,beta,time (sec/M)
1000,-1443.3231954417356,99.00839600860436,17.695307044207453,0.05308628479471281,88.23399120197199,57309.952999999994
2000,-1442.173625666356,140.84326214219865,25.168647616999124,0.05570996862395627,80.52102621400843,236.179
3000,-1441.0576278300534,134.78256000778464,21.385360105470003,0.0494324446203561,90.59772017017714,257.59700000000004
4000,-1442.3838487926419,127.6415211359274,19.719045038046172,0.046208207097035665,97.29572379076376,235.821
5000,-1441.205493875402,174.97119924651741,31.6966952124168,0.045130853665584746,100.3908790763936,229.59900000000002
6000,-1440.3679531373798,163.98609275286063,25.703025413312453,0.04322800353866289,104.62695208444778,234.025
7000,-1439.8892037780874,160.5123137330282,26.00121176074437,0.040374863900011056,114.73262165811474,239.318
8000,-1438.7696775617405,161.40540738420307,26.477617970391943,0.04120196922310717,111.08416301223902,229.016
9000,-1440.506108178155,181.31814737923176,32.41229616122818,0.038783956118322346,119.77560709927003,244.35999999999999
10000,-1438.7716626819015,138.56208009376977,23.161445472287944,0.036153976490660614,124.54703809140689,228.571
11000,-1444.2131739445404,124.12038524858072,19.85980056552836,0.03867475478794381,122.21480317877742,229.86899999999997
12000,-1439.3828322976785,158.38387372031968,25.341157764217396,0.0348568716441902,128.2611482020018,226.515
13000,-1437.9080263374726,177.0539832751939,29.095396852681812,0.03347458836130906,136.49947275287585,226.05800000000002
14000,-1439.1283746797683,181.8909489126333,29.499914335582012,0.03392404330005287,131.1212371761215,230.934
15000,-1440.454679429372,160.89306017426583,25.124684470336227,0.03880036949266157,117.43797372405427,235.04800000000003
16000,-1438.6878223523638,145.02459218947226,23.71463635520299,0.03730513850907384,122.15678136688129,240.54
17000,-1439.6536749694208,164.3327428327607,26.60159499780302,0.038458994799868584,120.38612337163978,224.39799999999997
